№;rank;AVG katas per month
1;1;0.625629582170329
2;2;2.8338705577776415
3;3;8.60976233819882
4;4;13.40025136806511
5;5;12.037052532009062
6;6;10.184999882596035
7;7;7.508558558558558
8;8;11.578452380952381
