№;rank;algorithms;bug_fixes;games;no category;refactoring;reference
1;1;28273;1372;9857;8;531;46664
2;2;22032;1778;5745;47;515;43537
3;3;20329;2367;3699;162;625;41926
4;4;13405;2034;2026;298;439;32554
5;5;5086;1292;699;246;159;15938
6;6;791;311;92;102;26;2710
7;7;84;54;2;33;4;354
8;8;997;79;395;3;42;1514
