№;rank;AVG katas per week
1;1;0.3391369754319581
2;2;1.5181804370407361
3;3;4.334691551887929
4;4;6.734210939745048
5;5;6.6589310494935186
6;6;6.3562919952292445
7;7;5.0762441012441
8;8;6.326564102564103
